Start,StartLocation,StIvesNorthbound,BostonNorthbound,LouthNorthbound,HessleNorthbound,MaltonNorthbound,BarnardCastleNorthbound,BramptonNorthbound,MoffatNorthbound,Dunfermline,InnerleithenSouthbound,EskdalemuirSouthbound,BramptonSouthbound,BarnardCastleSouthbound,MaltonSouthbound,HessleSouthbound,LouthSouthbound,BostonSouthbound,StIvesSouthbound,GreatEastonSouthbound,DebdenFinish
2022-08-07T05:00:00Z,Debden,2022-08-07T08:10:00Z,2022-08-07T11:04:00Z,2022-08-07T13:19:06Z,2022-08-07T15:14:00Z,2022-08-07T18:20:00Z,2022-08-08T00:04:00Z,2022-08-08T04:13:00Z,2022-08-08T07:55:00Z,2022-08-08T13:25:00Z,2022-08-08T18:00:00Z,2022-08-08T20:37:00Z,2022-08-09T00:16:00Z,2022-08-09T07:13:00Z,2022-08-09T14:15:00Z,2022-08-09T18:41:00Z,2022-08-09T22:49:00Z,2022-08-10T02:52:00Z,2022-08-10T08:45:00Z,2022-08-10T13:19:00Z,2022-08-10T16:06:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:25:00Z,2022-08-07T11:38:00Z,2022-08-07T14:39:00Z,2022-08-07T17:08:00Z,2022-08-07T20:25:00Z,2022-08-08T02:11:00Z,2022-08-08T10:48:00Z,2022-08-08T14:15:00Z,2022-08-08T19:23:00Z,2022-08-09T00:02:00Z,2022-08-09T07:12:00Z,2022-08-09T10:06:00Z,2022-08-09T15:15:00Z,2022-08-09T20:47:00Z,2022-08-10T01:11:00Z,2022-08-10T07:44:00Z,2022-08-10T10:29:00Z,2022-08-10T14:56:00Z,2022-08-10T18:47:00Z,2022-08-10T21:45:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:12:00Z,2022-08-07T11:35:00Z,2022-08-07T14:06:00Z,2022-08-07T16:49:00Z,2022-08-07T20:23:00Z,2022-08-08T02:09:00Z,2022-08-08T11:09:00Z,2022-08-08T14:42:00Z,2022-08-08T19:53:00Z,2022-08-09T00:43:00Z,2022-08-09T07:44:00Z,2022-08-09T10:33:00Z,2022-08-09T15:31:00Z,2022-08-09T21:20:00Z,2022-08-10T01:12:00Z,2022-08-10T07:44:00Z,2022-08-10T10:35:00Z,2022-08-10T14:53:00Z,2022-08-10T18:48:00Z,2022-08-10T21:45:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:27:00Z,2022-08-07T11:59:00Z,2022-08-07T14:44:00Z,2022-08-07T17:37:00Z,2022-08-07T21:21:00Z,2022-08-08T08:38:00Z,2022-08-08T14:54:00Z,2022-08-08T18:11:00Z,2022-08-09T00:28:00Z,2022-08-09T08:53:00Z,2022-08-09T12:12:00Z,2022-08-09T15:41:00Z,2022-08-09T21:58:00Z,2022-08-10T10:17:00Z,2022-08-10T14:27:00Z,2022-08-10T18:11:00Z,2022-08-10T21:02:00Z,2022-08-11T01:44:00Z,2022-08-11T05:51:00Z,2022-08-11T08:00:00Z
2022-08-07T11:00:00Z,Debden,2022-08-07T14:44:00Z,2022-08-07T19:02:00Z,2022-08-07T21:50:00Z,2022-08-08T01:16:00Z,2022-08-08T05:40:00Z,2022-08-08T16:17:00Z,2022-08-08T22:53:00Z,2022-08-09T13:53:00Z,2022-08-09T21:12:00Z,2022-08-10T11:53:00Z,,,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:49:00Z,2022-08-07T13:23:57Z,2022-08-07T16:41:00Z,2022-08-07T20:29:00Z,2022-08-08T05:22:00Z,2022-08-08T14:23:00Z,,,,,,,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:27:00Z,2022-08-07T11:47:00Z,2022-08-07T14:33:00Z,2022-08-07T17:24:00Z,2022-08-07T21:20:00Z,2022-08-08T08:38:00Z,2022-08-08T13:44:00Z,2022-08-08T17:37:00Z,2022-08-08T23:05:00Z,2022-08-09T08:52:00Z,2022-08-09T11:41:00Z,2022-08-09T14:38:00Z,2022-08-09T20:05:00Z,2022-08-10T03:15:00Z,2022-08-10T11:25:00Z,2022-08-10T14:41:00Z,2022-08-10T17:21:00Z,2022-08-10T21:43:00Z,2022-08-11T03:07:00Z,2022-08-11T05:57:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:30:00Z,2022-08-07T12:00:00Z,2022-08-07T14:47:00Z,2022-08-07T17:38:00Z,2022-08-07T21:19:00Z,2022-08-08T04:07:00Z,2022-08-08T13:09:00Z,2022-08-08T17:26:00Z,2022-08-08T23:24:00Z,2022-08-09T09:05:00Z,2022-08-09T12:12:00Z,2022-08-09T15:19:00Z,2022-08-09T20:38:00Z,2022-08-10T06:44:00Z,2022-08-10T10:39:00Z,2022-08-10T14:14:00Z,2022-08-10T17:28:00Z,2022-08-10T22:53:00Z,2022-08-11T05:22:00Z,2022-08-11T08:03:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:11:00Z,2022-08-07T11:21:00Z,2022-08-07T13:44:00Z,2022-08-07T16:45:00Z,2022-08-07T20:06:00Z,2022-08-08T08:26:00Z,2022-08-08T13:41:00Z,2022-08-08T17:01:00Z,2022-08-08T23:19:00Z,,,,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:29:00Z,2022-08-07T11:40:00Z,2022-08-07T13:51:00Z,2022-08-07T16:29:00Z,2022-08-07T19:43:00Z,2022-08-08T02:05:00Z,2022-08-08T12:03:00Z,2022-08-08T15:44:00Z,2022-08-08T22:07:00Z,2022-08-09T04:22:00Z,,,,,,,,,,
